Aircraft,Reg,Cockpit,Cabin,Pantry,WaterPercent,BasicWeight,DOI
A321-231,TC-JRA,2,0,L,100,50298,43.3
A321-231,TC-JRA,2,0,M,100,50025,41.6
A321-231,TC-JRA,2,0,S,100,49724,37.5
A321-231,TC-JRA,2,0,D,100,49608,35.8
A321-231,TC-JRA,2,0,F,100,49044,33.3
A321-231,TC-JRA,2,1,L,100,50373,42.1
A321-231,TC-JRA,2,1,M,100,50100,40.4
A321-231,TC-JRA,2,1,S,100,49799,36.3
A321-231,TC-JRA,2,1,D,100,49683,34.6
A321-231,TC-JRA,2,1,F,100,49119,32.1
A321-231,TC-JRA,2,2,L,100,50448,43.3
A321-231,TC-JRA,2,2,M,100,50175,41.6
A321-231,TC-JRA,2,2,S,100,49874,37.5
A321-231,TC-JRA,2,2,D,100,49758,35.8
A321-231,TC-JRA,2,2,F,100,49194,33.3
A321-231,TC-JRA,2,4,L,100,50598,43.0
A321-231,TC-JRA,2,4,M,100,50325,41.3
A321-231,TC-JRA,2,4,S,100,50024,37.2
A321-231,TC-JRA,2,4,D,100,49908,35.5
A321-231,TC-JRA,2,4,F,100,49344,33.0
A321-231,TC-JRA,2,5,L,100,50673,44.1
A321-231,TC-JRA,2,5,M,100,50400,42.4
A321-231,TC-JRA,2,5,S,100,50099,38.3
A321-231,TC-JRA,2,5,D,100,49983,36.6
A321-231,TC-JRA,2,5,F,100,49419,34.1
A321-231,TC-JRA,2,6,L,100,50748,42.9
A321-231,TC-JRA,2,6,M,100,50475,41.2
A321-231,TC-JRA,2,6,S,100,50174,37.1
A321-231,TC-JRA,2,6,D,100,50058,35.4
A321-231,TC-JRA,2,6,F,100,49494,32.9
A321-231,TC-JRA,2,7,L,100,50823,44.1
A321-231,TC-JRA,2,7,M,100,50550,42.4
A321-231,TC-JRA,2,7,S,100,50249,38.3
A321-231,TC-JRA,2,7,D,100,50133,36.6
A321-231,TC-JRA,2,7,F,100,49569,34.1
A321-231,TC-JRA,2,8,L,100,50898,45.3
A321-231,TC-JRA,2,8,M,100,50625,43.6
A321-231,TC-JRA,2,8,S,100,50324,39.5
A321-231,TC-JRA,2,8,D,100,50208,37.8
A321-231,TC-JRA,2,8,F,100,49644,35.3
A321-231,TC-JRA,3,0,L,100,50383,41.8
A321-231,TC-JRA,3,0,M,100,50110,40.1
A321-231,TC-JRA,3,0,S,100,49809,36.0
A321-231,TC-JRA,3,0,D,100,49693,34.3
A321-231,TC-JRA,3,0,F,100,49129,31.8
A321-231,TC-JRA,3,1,L,100,50458,40.6
A321-231,TC-JRA,3,1,M,100,50185,38.9
A321-231,TC-JRA,3,1,S,100,49884,34.8
A321-231,TC-JRA,3,1,D,100,49768,33.1
A321-231,TC-JRA,3,1,F,100,49204,30.6
A321-231,TC-JRA,3,2,L,100,50533,41.8
A321-231,TC-JRA,3,2,M,100,50260,40.1
A321-231,TC-JRA,3,2,S,100,49959,36.0
A321-231,TC-JRA,3,2,D,100,49843,34.3
A321-231,TC-JRA,3,2,F,100,49279,31.8
A321-231,TC-JRA,3,4,L,100,50683,41.5
A321-231,TC-JRA,3,4,M,100,50410,39.8
A321-231,TC-JRA,3,4,S,100,50109,35.7
A321-231,TC-JRA,3,4,D,100,49993,34.0
A321-231,TC-JRA,3,4,F,100,49429,31.5
A321-231,TC-JRA,3,5,L,100,50758,42.6
A321-231,TC-JRA,3,5,M,100,50485,40.9
A321-231,TC-JRA,3,5,S,100,50184,36.8
A321-231,TC-JRA,3,5,D,100,50068,35.1
A321-231,TC-JRA,3,5,F,100,49504,32.6
A321-231,TC-JRA,3,6,L,100,50833,41.4
A321-231,TC-JRA,3,6,M,100,50560,39.7
A321-231,TC-JRA,3,6,S,100,50259,35.6
A321-231,TC-JRA,3,6,D,100,50143,33.9
A321-231,TC-JRA,3,6,F,100,49579,31.4
A321-231,TC-JRA,3,7,L,100,50908,42.6
A321-231,TC-JRA,3,7,M,100,50635,40.9
A321-231,TC-JRA,3,7,S,100,50334,36.8
A321-231,TC-JRA,3,7,D,100,50218,35.1
A321-231,TC-JRA,3,7,F,100,49654,32.6
A321-231,TC-JRA,3,8,L,100,50983,43.8
A321-231,TC-JRA,3,8,M,100,50710,42.1
A321-231,TC-JRA,3,8,S,100,50409,38.0
A321-231,TC-JRA,3,8,D,100,50293,36.3
A321-231,TC-JRA,3,8,F,100,49729,33.8
A321-231,TC-JRA,2,0,L,75,50248,42.5
A321-231,TC-JRA,2,0,M,75,49975,40.8
A321-231,TC-JRA,2,0,S,75,49674,36.7
A321-231,TC-JRA,2,0,D,75,49558,35.0
A321-231,TC-JRA,2,0,F,75,48994,32.5
A321-231,TC-JRA,2,1,L,75,50323,41.3
A321-231,TC-JRA,2,1,M,75,50050,39.6
A321-231,TC-JRA,2,1,S,75,49749,35.5
A321-231,TC-JRA,2,1,D,75,49633,33.8
A321-231,TC-JRA,2,1,F,75,49069,31.3
A321-231,TC-JRA,2,2,L,75,50398,42.5
A321-231,TC-JRA,2,2,M,75,50125,40.8
A321-231,TC-JRA,2,2,S,75,49824,36.7
A321-231,TC-JRA,2,2,D,75,49708,35.0
A321-231,TC-JRA,2,2,F,75,49144,32.5
A321-231,TC-JRA,2,4,L,75,50548,42.2
A321-231,TC-JRA,2,4,M,75,50275,40.5
A321-231,TC-JRA,2,4,S,75,49974,36.4
A321-231,TC-JRA,2,4,D,75,49858,34.7
A321-231,TC-JRA,2,4,F,75,49294,32.2
